genre,valence_mean
Dangdut,0.6928068238835926
Electronic,0.4247954033771107
Hip hop,0.565864638346728
Jazz,0.394424218051832
Metal,0.35730421607378127
Pop,0.5128253993109928
Punk,0.5374015082427218
R&B,0.4778441786844882
Reggae,0.7164034324133051
Rock,0.5190121140142517
