track_id,track_name,playlist_id,genre,date_album_release,timestamp_addition
1KtD0xaLAikgIt5tPbteZQ,Thinking About You (feat. Ayah Marar),37i9dQZF1EIeZKM1YFAtwx,Electronic,2012-10-29,1970-01-01T00:00:00Z
4tV6C36fjDmz0kzlFIdx3o,Lose This Feeling,37i9dQZF1EIeZKM1YFAtwx,Electronic,2024-01-12,1970-01-01T00:00:00Z
3sOGVdj5VPY6C2XImtlzj7,Shockwave,37i9dQZF1EIeZKM1YFAtwx,Electronic,2021-06-11,1970-01-01T00:00:00Z
1cYyZ1N98GyRS3cMcccFHd,Wasted Love (feat. Lagique),37i9dQZF1EIeZKM1YFAtwx,Electronic,2022-09-02,1970-01-01T00:00:00Z
0NIC4unbe5KZOp1d9T7OaF,Secrets,37i9dQZF1EIeZKM1YFAtwx,Electronic,2015-05-18,1970-01-01T00:00:00Z
2ldAdghnrO34HPcZ0IWfTu,Ten Feet Tall,37i9dQZF1EIeZKM1YFAtwx,Electronic,2014-01-01,1970-01-01T00:00:00Z
0cOBMETjhxublnnwhbnzJO,Reality (feat. Janieck Devy) - Radio Edit,37i9dQZF1EIeZKM1YFAtwx,Electronic,2016-10-21,1970-01-01T00:00:00Z
6L5xbckRDXIf5K1pwTaGkD,Satisfaction - Hardwell & Maddix Remix,37i9dQZF1EIeZKM1YFAtwx,Electronic,2023-01-05,1970-01-01T00:00:00Z
043bfUkTydw0xJ5JjOT91w,Don't You Worry Child,37i9dQZF1EIeZKM1YFAtwx,Electronic,2012-01-01,1970-01-01T00:00:00Z
5n3jPpWweeAWjSEIONrcXS,Shadows Of The Night - GIGI DAG Mix,37i9dQZF1EIeZKM1YFAtwx,Electronic,2024-04-05,1970-01-01T00:00:00Z
4tknhO5RmXIxnpoipMKBmG,Monster - Robin Schulz Remix,37i9dQZF1EIeZKM1YFAtwx,Electronic,2019-08-16,1970-01-01T00:00:00Z
77eYKxdR0CDNZPhvbHxdUf,Pyramids (feat. Sanjin) - Radio Mix,37i9dQZF1EIeZKM1YFAtwx,Electronic,2014-12-08,1970-01-01T00:00:00Z
1n7omixiROWs5q6xpWiQuL,Satisfaction - Isak Original Extended,0uNeN7uvvn6RTuyTA89SYN,Electronic,2003-05-23,2021-11-05T21:05:06Z
6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,0uNeN7uvvn6RTuyTA89SYN,Electronic,2001-01-01,2021-11-05T21:05:58Z
1CgbwsrNDlFrRuk2ebQ7zr,9Pm (Till I Come),0uNeN7uvvn6RTuyTA89SYN,Electronic,1999-04-26,2022-05-17T01:36:34Z
1arJHhz6TxMV50SNvSmGnV,Ecuador - Original Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,1997-06-30,2022-07-24T23:15:16Z
04zrPERrSO4CfyargthKJ9,Bla Bla Bla,0uNeN7uvvn6RTuyTA89SYN,Electronic,1999,2022-10-16T23:21:03Z
4h4AEqy0iBbjdlbtWvIx5O,Get Get Down,0uNeN7uvvn6RTuyTA89SYN,Electronic,1999,2022-11-04T22:27:56Z
0Qn0i8df7Q76ej3RAXAtI2,Rock This Party - Everybody Dance Now,0uNeN7uvvn6RTuyTA89SYN,Electronic,2006-08-22,2022-10-18T09:21:02Z
2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2010-01-01,2022-11-05T20:08:26Z
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,0uNeN7uvvn6RTuyTA89SYN,Electronic,2018-06-08,2022-10-16T23:21:49Z
74PyndGWYtfs86n60lAsYW,Everytime We Touch - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2011-01-01,2022-11-02T23:35:24Z
3aQz0z86zrKjd1mcZlonxE,Infinity 2008 - Klaas Vocal Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2008-05-07,2022-09-15T12:28:13Z
5TmFTHZp7HjBXjjsFvCY6h,Destination Calabria - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2007-02-19,2022-08-31T07:35:49Z
5OhxHYkob2Y1S0h502LC7e,Mr Saxobeat - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2010,2022-10-21T18:22:14Z
